Day;Month;Year;Time;Air;Yest
01;01;2017;01;168.81;
01;01;2017;02;104.097;
01;01;2017;03;70.2537;
01;01;2017;04;69.3456;
01;01;2017;05;62.673;
01;01;2017;06;62.708;
01;01;2017;07;52.3724;
01;01;2017;08;44.9037;
01;01;2017;09;46.4531;
01;01;2017;10;49.9244;
01;01;2017;11;32.2415;
01;01;2017;12;28.979;
01;01;2017;13;23.6741;
01;01;2017;14;25.7073;
01;01;2017;15;34.9351;
01;01;2017;16;46.6344;
01;01;2017;17;57.5401;
01;01;2017;18;61.7339;
01;01;2017;19;69.722;
01;01;2017;20;62.9371;
01;01;2017;21;72.9976;
01;01;2017;22;78.9542;
01;01;2017;23;87.2724;
02;01;2017;00;99.9007;168.81
02;01;2017;01;76.5936;104.097
02;01;2017;02;72.9536;70.2537
02;01;2017;03;47.597;69.3456
02;01;2017;04;27.1268;62.673
02;01;2017;05;23.0085;62.708
02;01;2017;06;29.5958;52.3724
02;01;2017;07;31.9423;44.9037
02;01;2017;08;31.1124;46.4531
02;01;2017;09;27.7096;49.9244
02;01;2017;10;18.2913;32.2415
02;01;2017;11;24.4841;28.979
02;01;2017;12;19.8585;23.6741
02;01;2017;13;21.7455;25.7073
02;01;2017;14;23.9687;34.9351
02;01;2017;15;25.5702;46.6344
02;01;2017;16;23.4186;57.5401
02;01;2017;17;26.9927;61.7339
02;01;2017;18;21.1368;69.722
02;01;2017;19;22.5458;62.9371
02;01;2017;20;23.7915;72.9976
02;01;2017;21;23.1333;78.9542
02;01;2017;22;27.2204;87.2724
02;01;2017;23;24.516;99.9007
03;01;2017;00;13.1718;76.5936
03;01;2017;01;15.288;72.9536
03;01;2017;02;11.3675;47.597
03;01;2017;03;8.96291;27.1268
03;01;2017;04;10.5896;23.0085
03;01;2017;05;11.8725;29.5958
03;01;2017;06;11.9041;31.9423
03;01;2017;07;16.5246;31.1124
03;01;2017;08;9.90377;27.7096
03;01;2017;09;8.33404;18.2913
03;01;2017;10;11.5229;24.4841
03;01;2017;11;9.13296;19.8585
03;01;2017;12;11.1636;21.7455
03;01;2017;13;5.36441;23.9687
03;01;2017;14;9.06624;25.5702
03;01;2017;15;12.2195;23.4186
03;01;2017;16;8.25281;26.9927
03;01;2017;17;9.74455;21.1368
03;01;2017;18;6.92984;22.5458
03;01;2017;19;9.00229;23.7915
03;01;2017;20;10.1106;23.1333
03;01;2017;21;11.6896;27.2204
03;01;2017;22;10.0417;24.516
03;01;2017;23;5.91923;13.1718
04;01;2017;00;7.01939;15.288
04;01;2017;01;4.09536;11.3675
04;01;2017;02;2.77786;8.96291
04;01;2017;03;4.41916;10.5896
04;01;2017;04;3.23255;11.8725
04;01;2017;05;3.47776;11.9041
04;01;2017;06;4.50137;16.5246
04;01;2017;07;5.36585;9.90377
04;01;2017;08;5.24408;8.33404
04;01;2017;09;5.83692;11.5229
04;01;2017;10;8.33941;9.13296
04;01;2017;11;6.49352;11.1636
04;01;2017;12;6.56629;5.36441
04;01;2017;13;5.32064;9.06624
04;01;2017;14;3.95686;12.2195
04;01;2017;15;6.6728;8.25281
04;01;2017;16;5.21196;9.74455
04;01;2017;17;11.372;6.92984
04;01;2017;18;11.3614;9.00229
04;01;2017;19;11.5757;10.1106
04;01;2017;20;8.21599;11.6896
04;01;2017;21;6.73202;10.0417
04;01;2017;22;8.03131;5.91923
04;01;2017;23;9.00466;7.01939
05;01;2017;00;4.29882;4.09536
05;01;2017;01;3.43011;2.77786
05;01;2017;02;2.79387;4.41916
05;01;2017;03;2.31402;3.23255
05;01;2017;04;4.30517;3.47776
05;01;2017;05;3.63738;4.50137
05;01;2017;06;3.19502;5.36585
05;01;2017;07;1.72071;5.24408
05;01;2017;08;11.5077;5.83692
05;01;2017;09;8.82059;8.33941
05;01;2017;10;9.42696;6.49352
05;01;2017;11;15.2399;6.56629
05;01;2017;12;15.6399;5.32064
05;01;2017;13;8.02367;3.95686
05;01;2017;14;5.7012;6.6728
05;01;2017;15;10.2905;5.21196
05;01;2017;16;10.8333;11.372
05;01;2017;17;11.4794;11.3614
05;01;2017;18;17.453;11.5757
05;01;2017;19;13.2309;8.21599
05;01;2017;20;13.4041;6.73202
05;01;2017;21;10.8179;8.03131
05;01;2017;22;11.4329;9.00466
05;01;2017;23;12.6454;4.29882
06;01;2017;00;12.5929;3.43011
06;01;2017;01;9.08428;2.79387
06;01;2017;02;6.11108;2.31402
06;01;2017;03;6.28219;4.30517
06;01;2017;04;7.27801;3.63738
06;01;2017;05;6.39569;3.19502
06;01;2017;06;5.52642;1.72071
06;01;2017;07;6.19749;11.5077
06;01;2017;08;5.19461;8.82059
06;01;2017;09;6.79265;9.42696
06;01;2017;10;8.0573;15.2399
06;01;2017;11;14.8208;15.6399
06;01;2017;12;10.7043;8.02367
06;01;2017;13;9.62434;5.7012
06;01;2017;14;12.3922;10.2905
06;01;2017;15;10.3574;10.8333
06;01;2017;16;11.7636;11.4794
06;01;2017;17;11.8988;17.453
06;01;2017;18;15.7868;13.2309
06;01;2017;19;21.0762;13.4041
06;01;2017;20;28.1984;10.8179
06;01;2017;21;29.1201;11.4329
06;01;2017;22;20.8148;12.6454
06;01;2017;23;19.1888;12.5929
07;01;2017;00;13.6479;9.08428
07;01;2017;01;17.5774;6.11108
07;01;2017;02;18.7256;6.28219
07;01;2017;03;29.046;7.27801
07;01;2017;04;45.3791;6.39569
07;01;2017;05;50.6437;5.52642
07;01;2017;06;52.7724;6.19749
07;01;2017;07;55.8351;5.19461
07;01;2017;08;58.7924;6.79265
07;01;2017;09;54.9131;8.0573
07;01;2017;10;56.7982;14.8208
07;01;2017;11;40.6763;10.7043
07;01;2017;12;32.5413;9.62434
07;01;2017;13;32.8093;12.3922
07;01;2017;14;25.9889;10.3574
07;01;2017;15;29.187;11.7636
07;01;2017;16;15.4987;11.8988
07;01;2017;17;19.4385;15.7868
07;01;2017;18;21.5105;21.0762
07;01;2017;19;31.5056;28.1984
07;01;2017;20;36.3267;29.1201
07;01;2017;21;36.7305;20.8148
07;01;2017;22;40.7746;19.1888
07;01;2017;23;33.836;13.6479
08;01;2017;00;29.8914;17.5774
08;01;2017;01;35.1653;18.7256
08;01;2017;02;51.8607;29.046
08;01;2017;03;57.0543;45.3791
08;01;2017;04;60.9038;50.6437
08;01;2017;05;58.0133;52.7724
08;01;2017;06;43.9914;55.8351
08;01;2017;07;33.2944;58.7924
08;01;2017;08;33.4319;54.9131
08;01;2017;09;35.2674;56.7982
08;01;2017;10;50.8457;40.6763
08;01;2017;11;41.703;32.5413
08;01;2017;12;37.0634;32.8093
08;01;2017;13;29.7894;25.9889
08;01;2017;14;35.3418;29.187
08;01;2017;15;39.1934;15.4987
08;01;2017;16;39.2484;19.4385
08;01;2017;17;57.8974;21.5105
08;01;2017;18;80.4623;31.5056
08;01;2017;19;114.947;36.3267
08;01;2017;20;145.2;36.7305
08;01;2017;21;162.663;40.7746
08;01;2017;22;183.09;33.836
08;01;2017;23;184.848;29.8914
09;01;2017;00;205.502;35.1653
09;01;2017;01;217.25;51.8607
09;01;2017;02;199.621;57.0543
09;01;2017;03;191.675;60.9038
09;01;2017;04;184.437;58.0133
09;01;2017;05;182.541;43.9914
09;01;2017;06;182.593;33.2944
09;01;2017;07;157.411;33.4319
09;01;2017;08;110.584;35.2674
09;01;2017;09;111.772;50.8457
09;01;2017;10;106.623;41.703
09;01;2017;11;110.972;37.0634
